fleet_id,fleet_name
0,UNKNOWN_FLEET
2,Airgas Merchants
3,Alabama Motor Express
12,Bison Transport
48,"Hogan Transportation, Inc."
61,Magnum LTD
68,Mesilla Valley Transportation
70,NFI Industries
74,Paper Transport
82,Ruan
93,Swift
98,TLX Transport
102,UPS
105,Vitesse Trucking
107,Ward Trucking LLC
109,Western Dairy
110,"Werner Enterprises, Inc."
111,WinCo Foods
346,Idealease
347,Rinaudo Enterprises
352,U.S. Foods
355,Game Creek Video
358,"Steelman Transportation, Inc."
707,Heyl Truck Lines
789,Road Legends
791,Tantara
797,TLM Autos
2156,Melton Trucklines
4168,Auto Translados Sin Rodar
4880,"Schneider National, Inc."
5457,"J & M Tank Lines, Inc."
5829,AutoZone Inc.
5860,Boyd Bros. Transportation
7362,Robert Transport
14622,Rural King
15719,Doug Andrus Distributing 
16215,Tri National Inc
16621,Rush truck leasing archive
18454,Alianza Trayecto
21569,Wholesale Fuels
25000,Amazon Logistics
27189,"J.B. Hunt Transport Services, Inc."
29434,Diversified Transfer & Storage
30461,Tracusa
30462,TRANSPORTADORA EGOBA
30463,TRANSPORTADORA NACIONAL TERRESTRE
30470,Wheely Safe
30609,Superior Tank Lines
32609,Atomic Transport Incorporated
33120,Auto Express Oriente
33121,Grupo Reyma
33254,Big Freight Systems Inc.
35063,Star Transportation PA
35232,Salazar Hermanos
35241,Express San Javier
36094,Transervicios Logisticos del Norte
38075,X2 Transport
39374,Ronald Demeter
39381,Moore Miles Transportation
40823,Grupo Fletes Astro
40992,"Gurpreet Dhillon, CN IOO"
42163,Challenge Dairy Products
43989,Conico Oil
47032,SBCS Press LLC
47477,David Rounds
47646,"Advanced Drainage Systems, Inc."
47907,On-Time Transport
47908,Ragnar Expedition
49368,Joker Express LLC.
49670,Dai Rong Express
54396,Wabco
55230,"Kenan Advantage Group, Inc."
55238,Nuss Truck Group
56884,Britton Transport
56906,B-H Transfer
56977,CBJT LLC
58225,Andrews Logistics
58401,Corey Bernsdorff
59235,Woody Bogler
63808,Giant Tiger Stores
65048,Trimac
66345,Amazon - Last Mile
67473,Dickinson Fleet Services
67481,Marvin Keller Trucking
68567,Clinton's Ditch Co-Op
70864,Linde Gases US
72230,AAA Brothers LLC
75542,Brian O'Neil
76875,U.S. Auto Logistics
77093,Palm Tran Public Transportation
80749,5 Star Transport
80750,New Enterprise Stone & Lime - NESL
86296,Mirage Transport
86298,Snak Transport LLC
86425,Express Mondor
86426,Romexpress Inc
86427,Rosenau Transport
87177,CVS Caremark
88738,Mike Loza Trucking LLC
88739,YarVinn Express
89000,Andrew Gaines
91965,Brian Penrod
92566,Lopez e Hijos
92580,Andrus
92581,Bulkley Transport 
92582,Groupe Robert
92583,Hogan
92585,J B HUNT
92587,Steelman
92588,Tri National
92589,US Foods
92591,Werner Enterprises
92592,Deanda Transport
92593,Lightning Transport & Logistics
92594,Mad Rabbit Logistics
92595,Aexpedition
92596,DCS Trucking
92597,Transport Laberge
92598,Pigeon Freight Services
92601,Holland Enterprises
92602,Mark Brunsen
92605,Glenn Keller
92606,Red Stag
92607,ERL
92608,Syed Asif Ali
92609,Karaoglan
92610,Western Star Transportation
92612,Sherwin Williams
92618,Reaper Logistics
92620,Anas Almuhaidat
92622,Mullen Group
92623,Newcomb Transportation
92624,Fraley & Schilling
92625,GC Trucking
92626,Beckmann Distribution Service Inc
92627,Tobal Logistics Corporation
92628,Brandmotion
92629,SS Transport & Repair LLC
92630,Tribe Transportation
92631,Mor/Ryde International inc
92632,Schuster Co.
92633,Grand Island Express
92634,Paccar
92635,Frederick Baldwin
92636,Patrick Weyenberg
92637,Cryostasis Transport LLC
92642,Bur-Trans Inc.
92643,CNB Transport LLC
92645,Maverick Transportation
92647,MigWay Inc.
92650,TransChem USA
92651,Jimmie Waites
92652,Andy Transport
92653,TransX Group of Companies
92654,Professional Auto Transport
92655,GT Carriers
92656,PB Materials
92657,Select 1
92658,Exxact Express Inc
92659,Kuperus Trucking Inc.
92669,FHG Fueling LLC
92670,Lenard Dockter
92671,Abdi Webo
92672,Wildcat Transport
92673,Pfister Bulk Transport
92677,"Transport Couet, Inc"
92678,V I Specialized Transport LLC
92679,Jeff Roe
92684,Transport-Egagnon Inc
92685,National Carriers
92686,Techo-Bloc Inc.
92687,JKC Trucking Inc
92688,Alex G. 
92699,C1 Transportation
92701,"Bison Logistics, LLC"
92702,FreightWorks Transport
92703,Test Fleet - Blacktab Solutions
92704,Bulkmatic Transport Company
92707,Don Watson Transport
92708,TuSimple
92710,Texas TransEastern
92711,Musco
92712,Clean Harbors
92713,RCJ Trucking
92714,CEBEP Transportation
92716,Sun Transportation Systems
92717,Beelman Truck Co
92718,NatiMaks Corp
92719,Leonard's Express
92720,James Burg Trucking Company
92721,Brian Bush
92722,Alpha Drivers Transportation
92723,Market Express LLC
92727,Cargo Transporters
92728,Sweetie Boy Transportation
92729,HO Bouchard
92731,Midland Transport
92732,Walgre Transport Inc.
92733,Western Express
92734,Mansfield Energy Corp
92735,"USA Truck, Inc."
92736,Fox & James
92737,Thomas E. Keller Trucking
92739,Isaiah 40 Trucking LLC
92743,Volansys
92746,United Road Service
92749,White Oak Transport
92750,Pan Glo Services LLC
92751,Codysur Trucking
92752,Selectransportation Resources LLC
92753,Chris Kuczmarski
92754,Matthew Mims
92756,Matheson Tri Gas
92758,Premier Transportation
92759,Aldo Gonclaves Jr
92763,Cruse Pro Logistics LLC
92764,Venture Logistics
92772,LaLa Trans LLC
92773,Brian Van Winkle
92778,RB Stewart Petroleum Products
92781,T.W. Miller Transportation LLC
92782,Millennial Transport Services
92784,Anderson Trucking Service
92785,Paschall Truck Lines
92786,Platform Science - Test Fleet
92787,Casens Legacy Inc
92788,Eldredge Equipment Services
92789,Cassens Transport
92790,Hot Transport LLC
92791,Troy Wells
92792,Forza Transportation Services
92793,Alexey Ochikov
92794,Sandridge Food
92795,Savage Services
92797,Paschall - Control
92799,Cummins-Meritor
92801,Accelerated Logistics
92804,"CEMEX, Inc"
