fleet_vehicle_id,fleet_id,cycle_number,created_at,retired_at
9067,16215,8665,2023-06-01 12:27:15.0,
9068,16215,4355,2023-06-01 13:06:10.0,
8574869 Sun Coast ,92662,13888,2023-06-01 13:35:41.0,
224,92673,9784,2023-06-01 14:26:48.0,
8271047,92667,12343,2023-06-01 16:27:12.0,
9571818,83,13890,2023-06-01 18:18:37.0,
8574868 Sun Coast ,92662,13892,2023-06-01 18:32:01.0,
9069,16215,5636,2023-06-01 19:16:42.0,
9071,16215,8655,2023-06-02 13:29:52.0,
496627,92667,13203,2023-06-02 14:33:34.0,
378,92732,13893,2023-06-02 15:03:18.0,
9073,16215,8672,2023-06-02 15:13:17.0,
9070,16215,13896,2023-06-02 16:22:13.0,
8575156 Naegeli,92662,13898,2023-06-02 16:57:59.0,
4775,98,12410,2023-06-03 02:25:12.0,
4775_!JY2674,98,6543,2023-06-03 02:53:36.0,2023-08-09 12:59:07.0
496636,92667,13200,2023-06-05 14:41:04.0,
5654,5457,13922,2023-06-05 15:12:43.0,
9072,16215,13914,2023-06-05 15:23:53.0,
8575157 Naegeli ,92662,13898,2023-06-05 17:28:17.0,
8575157_!644892,92662,13930,2023-06-05 17:49:30.0,2023-06-09 17:16:58.0
453732,92667,13235,2023-06-05 18:17:30.0,
8575160 Naegeli ,92662,13469,2023-06-05 18:46:04.0,
496612,92667,13171,2023-06-05 19:22:19.0,
1166,92723,12177,2023-06-06 13:44:31.0,
9571937,83,13936,2023-06-06 14:35:29.0,
R41312,82,13941,2023-06-06 15:20:36.0,
496637,92667,13201,2023-06-06 15:53:32.0,
8575158 Naegeli ,92662,13774,2023-06-06 16:02:16.0,
BDAPPTEST4,354,2196,2023-06-06 16:40:35.0,
8779,92736,13193,2023-06-06 17:27:56.0,
453787,92667,12137,2023-06-06 18:04:16.0,
9075,16215,8680,2023-06-06 20:07:09.0,
9074,16215,13969,2023-06-06 20:11:21.0,
8575161 Naegeli ,92662,13774,2023-06-07 12:56:39.0,
8575161_!644896,92662,13700,2023-06-07 13:07:09.0,2023-06-09 17:16:52.0
9571910,83,13861,2023-06-07 13:44:14.0,
9077,16215,13971,2023-06-07 16:37:47.0,
9076,16215,8671,2023-06-07 16:39:06.0,
9078,16215,13970,2023-06-07 16:48:31.0,
8575126 KP Petro ,92662,13834,2023-06-07 17:48:44.0,
8271025,92667,12489,2023-06-07 18:20:49.0,
496610,92667,13204,2023-06-07 18:32:55.0,
5687,5457,13973,2023-06-07 19:03:41.0,
9571905,83,13853,2023-06-08 12:45:56.0,
9080,16215,13976,2023-06-08 14:13:30.0,
9079,16215,13977,2023-06-08 14:18:50.0,
3045,59235,13934,2023-06-08 14:37:24.0,
8575125  KP Petro ,92662,13837,2023-06-08 18:27:26.0,
250407,92706,11764,2023-06-08 18:46:57.0,
9020,16215,14001,2023-06-09 16:33:54.0,
5699,5457,13645,2023-06-09 18:21:11.0,
8575138 Hassel ,92662,13836,2023-06-09 19:00:18.0,
9571820,83,13859,2023-06-09 20:14:10.0,
9063,16215,14003,2023-06-09 20:44:53.0,
8575139 Hassel ,92662,13860,2023-06-10 18:24:11.0,
1461427,92666,12209,2023-06-12 14:55:42.0,
496560,92667,12940,2023-06-12 16:35:22.0,
9064,16215,8649,2023-06-12 16:36:48.0,
236726,92705,11634,2023-06-13 14:10:25.0,
8575130 Hassel ,92662,13847,2023-06-13 17:19:10.0,
5700,5457,14058,2023-06-13 18:36:15.0,
496613,92667,13949,2023-06-14 14:27:39.0,
8575142 Hassel ,92662,14081,2023-06-14 15:23:47.0,
5737,5457,8291,2023-06-14 16:36:33.0,
94015,92711,13591,2023-06-14 21:19:00.0,
QAVOLTEST,92743,13526,2023-06-15 10:33:41.0,2023-07-11 12:32:18.0
1461426,92666,12235,2023-06-15 12:11:54.0,
8575217 EMR,92662,14084,2023-06-15 12:45:09.0,
605,92734,13579,2023-06-15 14:08:55.0,
TEST,98,11413,2023-06-15 15:15:11.0,
20028,16215,8725,2023-06-15 15:29:44.0,
496614,92667,13957,2023-06-15 18:58:25.0,
8575118 Rental ,92662,12542,2023-06-15 20:26:24.0,
990080VOLTEST,92743,13526,2023-06-16 06:44:55.0,2023-07-21 10:00:44.0
20035,16215,8708,2023-06-16 13:54:08.0,
813623,92664,13965,2023-06-16 14:37:08.0,
684,92654,9285,2023-06-16 15:35:04.0,
603,92734,13458,2023-06-16 15:47:51.0,
9065,16215,8660,2023-06-16 16:04:46.0,
604,92734,13511,2023-06-16 16:21:40.0,
1461428,92666,14006,2023-06-16 16:43:53.0,
9571931,83,13857,2023-06-16 18:01:37.0,
9571901,83,13845,2023-06-16 20:07:06.0,
2207,92732,12950,2023-06-16 22:07:12.0,
5689,5457,14096,2023-06-19 12:09:42.0,
8575122 Rental ,92662,13933,2023-06-19 13:30:43.0,
8575123 Rental ,92662,13823,2023-06-19 15:21:52.0,
1461429,92666,14021,2023-06-19 15:23:37.0,
250,92673,13874,2023-06-19 16:14:46.0,
9083,16215,4757,2023-06-19 19:44:05.0,
7953,92716,12247,2023-06-19 20:05:33.0,
39098,0,13991,2023-06-20 11:29:25.0,2023-09-01 13:53:45.0
8575132 Apollo,92662,13919,2023-06-20 12:15:38.0,
602,92734,13578,2023-06-20 13:41:08.0,
434,92749,13707,2023-06-20 15:51:28.0,
TEST2006,92698,14125,2023-06-20 15:55:18.0,2023-07-04 07:08:48.0
TESTDFA,92698,14125,2023-06-20 15:55:25.0,2023-06-20 19:17:20.0
NEW07,0,14125,2023-06-20 15:55:34.0,2023-08-28 11:17:01.0
9571911,83,13862,2023-06-20 16:02:28.0,
9084,16215,5268,2023-06-20 16:45:34.0,
8575167 Naegeli ,92662,13913,2023-06-20 18:34:21.0,
452,92749,13699,2023-06-20 18:40:35.0,
9085,16215,5638,2023-06-20 19:25:26.0,
453769_!870437,92667,11519,2023-06-20 20:42:50.0,
161,92723,9817,2023-06-20 20:46:43.0,
355,92701,14048,2023-06-20 22:21:37.0,
5688,5457,14143,2023-06-21 12:28:31.0,
9086,16215,4299,2023-06-21 13:23:54.0,
1461430,92666,14013,2023-06-21 13:31:14.0,
9087,16215,14144,2023-06-21 14:26:24.0,
453741,92667,9963,2023-06-21 15:02:35.0,
8574396,92750,13436,2023-06-21 16:07:22.0,
9088,16215,5322,2023-06-21 16:15:49.0,
313,92701,14069,2023-06-21 19:15:48.0,
9090,16215,8648,2023-06-21 19:27:43.0,
446,92607,11995,2023-06-22 12:02:10.0,
3040,59235,11870,2023-06-22 12:55:35.0,
5653,5457,14177,2023-06-22 13:25:40.0,
9092,16215,8714,2023-06-22 13:30:52.0,
8575154 Naegeli,92662,13915,2023-06-22 13:56:36.0,
9091,16215,8705,2023-06-22 14:09:46.0,
9093,16215,8658,2023-06-22 16:36:51.0,
368,92732,13911,2023-06-22 17:07:33.0,
5671,5457,12879,2023-06-22 17:45:33.0,
9094,16215,5732,2023-06-22 19:39:55.0,
CC1310QA,92743,4789,2023-06-23 06:27:28.0,2023-06-29 07:15:06.0
8575163 Naegeli,92662,13924,2023-06-23 13:37:24.0,
9095,16215,5738,2023-06-23 13:52:32.0,
453740,92667,9954,2023-06-23 14:31:14.0,
9097,16215,14232,2023-06-23 15:54:24.0,
PRIUS,354,10794,2023-06-23 17:32:21.0,
5655,5457,14236,2023-06-23 18:18:36.0,
450,92749,13705,2023-06-23 18:22:51.0,
20026,16215,14259,2023-06-23 20:25:01.0,
310,92732,13953,2023-06-23 22:43:27.0,
8575162 Naegeli ,92662,13935,2023-06-24 13:51:57.0,
312,92732,13956,2023-06-24 18:13:13.0,
